WL,AW_SB81,AW_P93,AW_PF97,BW_SB81,BBW,KW_SB81,KW_P93,KW_PF97
288.000,0.2296000,,,0.03146000,0.01573000,0.2453300,,
288.500,0.2259500,,,0.03122000,0.01561000,0.2415600,,
289.000,0.2223000,,,0.03098000,0.01549000,0.2377900,,
289.500,0.2186500,,,0.03074000,0.01537000,0.2340200,,
290.000,0.2150000,,,0.03050000,0.01525000,0.2302500,,
290.500,0.2113000,,,0.03028500,0.01514250,0.2264425,,
291.000,0.2076000,,,0.03007000,0.01503500,0.2226350,,
291.500,0.2039000,,,0.02985500,0.01492750,0.2188275,,
292.000,0.2002000,,,0.02964000,0.01482000,0.2150200,,
292.500,0.1965000,,,0.02942500,0.01471250,0.2112125,,
293.000,0.1928000,,,0.02921000,0.01460500,0.2074050,,
293.500,0.1891000,,,0.02899500,0.01449750,0.2035975,,
294.000,0.1854000,,,0.02878000,0.01439000,0.1997900,,
294.500,0.1817000,,,0.02856500,0.01428250,0.1959825,,
295.000,0.1780000,,,0.02835000,0.01417500,0.1921750,,
295.500,0.1743000,,,0.02813500,0.01406750,0.1883675,,
296.000,0.1706000,,,0.02792000,0.01396000,0.1845600,,
296.500,0.1669000,,,0.02770500,0.01385250,0.1807525,,
297.000,0.1632000,,,0.02749000,0.01374500,0.1769450,,
297.500,0.1595000,,,0.02727500,0.01363750,0.1731375,,
298.000,0.1558000,,,0.02706000,0.01353000,0.1693300,,
298.500,0.1521000,,,0.02684500,0.01342250,0.1655225,,
299.000,0.1484000,,,0.02663000,0.01331500,0.1617150,,
299.500,0.1447000,,,0.02641500,0.01320750,0.1579075,,
300.000,0.1410000,,,0.02620000,0.01310000,0.1541000,,
300.500,0.1392000,,,0.02603500,0.01301750,0.1522175,,
301.000,0.1374000,,,0.02587000,0.01293500,0.1503350,,
301.500,0.1356000,,,0.02570500,0.01285250,0.1484525,,
302.000,0.1338000,,,0.02554000,0.01277000,0.1465700,,
302.500,0.1320000,,,0.02537500,0.01268750,0.1446875,,
303.000,0.1302000,,,0.02521000,0.01260500,0.1428050,,
303.500,0.1284000,,,0.02504500,0.01252250,0.1409225,,
304.000,0.1266000,,,0.02488000,0.01244000,0.1390400,,
304.500,0.1248000,,,0.02471500,0.01235750,0.1371575,,
305.000,0.1230000,,,0.02455000,0.01227500,0.1352750,,
305.500,0.1212000,,,0.02438500,0.01219250,0.1333925,,
306.000,0.1194000,,,0.02422000,0.01211000,0.1315100,,
306.500,0.1176000,,,0.02405500,0.01202750,0.1296275,,
307.000,0.1158000,,,0.02389000,0.01194500,0.1277450,,
307.500,0.1140000,,,0.02372500,0.01186250,0.1258625,,
308.000,0.1122000,,,0.02356000,0.01178000,0.1239800,,
308.500,0.1104000,,,0.02339500,0.01169750,0.1220975,,
309.000,0.1086000,,,0.02323000,0.01161500,0.1202150,,
309.500,0.1068000,,,0.02306500,0.01153250,0.1183325,,
310.000,0.1050000,,,0.02290000,0.01145000,0.1164500,,
310.500,0.1039700,,,0.02275500,0.01137750,0.1153475,,
311.000,0.1029400,,,0.02261000,0.01130500,0.1142450,,
311.500,0.1019100,,,0.02246500,0.01123250,0.1131425,,
312.000,0.1008800,,,0.02232000,0.01116000,0.1120400,,
312.500,0.09985000,,,0.02217500,0.01108750,0.1109375,,
313.000,0.09882000,,,0.02203000,0.01101500,0.1098350,,
313.500,0.09779000,,,0.02188500,0.01094250,0.1087325,,
314.000,0.09676000,,,0.02174000,0.01087000,0.1076300,,
314.500,0.09573000,,,0.02159500,0.01079750,0.1065275,,
315.000,0.09470000,,,0.02145000,0.01072500,0.1054250,,
315.500,0.09367000,,,0.02130500,0.01065250,0.1043225,,
316.000,0.09264000,,,0.02116000,0.01058000,0.1032200,,
316.500,0.09161000,,,0.02101500,0.01050750,0.1021175,,
317.000,0.09058000,,,0.02087000,0.01043500,0.1010150,,
317.500,0.08955000,,,0.02072500,0.01036250,0.09991250,,
318.000,0.08852000,,,0.02058000,0.01029000,0.09880999,,
318.500,0.08749000,,,0.02043500,0.01021750,0.09770750,,
319.000,0.08646000,,,0.02029000,0.01014500,0.09660500,,
319.500,0.08543000,,,0.02014500,0.01007250,0.09550250,,
320.000,0.08440000,,,0.02000000,0.01000000,0.09440000,,
320.500,0.08357000,,,0.01987500,0.009937500,0.09350751,,
321.000,0.08274000,,,0.01975000,0.009875000,0.09261500,,
321.500,0.08191000,,,0.01962500,0.009812500,0.09172250,,
322.000,0.08108000,,,0.01950000,0.009750000,0.09083000,,
322.500,0.08025000,,,0.01937500,0.009687500,0.08993750,,
323.000,0.07942000,,,0.01925000,0.009625000,0.08904500,,
323.500,0.07859000,,,0.01912500,0.009562500,0.08815250,,
324.000,0.07776000,,,0.01900000,0.009500000,0.08726000,,
324.500,0.07693000,,,0.01887500,0.009437500,0.08636750,,
325.000,0.07610000,,,0.01875000,0.009375000,0.08547500,,
325.500,0.07527000,,,0.01862500,0.009312500,0.08458250,,
326.000,0.07444000,,,0.01850000,0.009250000,0.08369000,,
326.500,0.07361000,,,0.01837500,0.009187500,0.08279750,,
327.000,0.07278000,,,0.01825000,0.009125000,0.08190500,,
327.500,0.07195000,,,0.01812500,0.009062500,0.08101250,,
328.000,0.07112000,,,0.01800000,0.009000000,0.08012000,,
328.500,0.07029000,,,0.01787500,0.008937500,0.07922750,,
329.000,0.06946000,,,0.01775000,0.008875000,0.07833499,,
329.500,0.06863000,,,0.01762500,0.008812500,0.07744250,,
330.000,0.06780000,,,0.01750000,0.008750000,0.07655000,,
330.500,0.06721500,,,0.01739000,0.008695000,0.07591000,,
331.000,0.06663000,,,0.01728000,0.008640000,0.07527000,,
331.500,0.06604500,,,0.01717000,0.008585000,0.07463000,,
332.000,0.06546000,,,0.01706000,0.008530000,0.07398999,,
332.500,0.06487500,,,0.01695000,0.008475000,0.07335000,,
333.000,0.06429000,,,0.01684000,0.008420000,0.07271000,,
333.500,0.06370500,,,0.01673000,0.008365000,0.07207000,,
334.000,0.06312000,,,0.01662000,0.008310000,0.07143000,,
334.500,0.06253500,,,0.01651000,0.008255000,0.07079000,,
335.000,0.06195000,,,0.01640000,0.008200000,0.07015000,,
335.500,0.06136500,,,0.01629000,0.008145000,0.06951000,,
336.000,0.06078000,,,0.01618000,0.008090000,0.06887000,,
336.500,0.06019500,,,0.01607000,0.008035000,0.06823000,,
337.000,0.05961000,,,0.01596000,0.007980000,0.06759000,,
337.500,0.05902500,,,0.01585000,0.007925000,0.06695000,,
